%time,field.data
1547890528422054261,-4.15258789062
1547890528424254474,-4.15258789062
1547890528426299106,-4.15258789062
1547890528430069276,-4.15258789062
1547890528431905960,-4.15258789062
1547890528434463272,-4.15258789062
1547890528438542144,-4.15258789062
1547890528440614681,-4.15258789062
1547890528442537133,-4.15258789062
1547890528446638856,-4.15258789062
1547890528448367877,-4.15258789062
1547890528450636171,-4.15258789062
1547890528454726069,-4.15258789062
1547890528456494046,-4.15258789062
1547890528458881020,-4.15258789062
1547890528463043726,-4.15258789062
1547890528464953622,-4.15258789062
1547890528467340370,-4.15258789062
1547890528471227460,-4.15258789062
1547890528472998118,-4.15258789062
1547890528475371749,-4.15258789062
1547890528479321850,-4.15258789062
1547890528481288474,-4.15258789062
1547890528483562999,-4.15258789062
1547890528487662249,-4.15258789062
1547890528489631906,-4.15258789062
1547890528491430494,-4.15258789062
1547890528493282748,-4.15258789062
1547890528496199673,-4.15258789062
1547890528499774462,-4.15258789062
1547890528501766204,-4.15258789062
1547890528504794109,-4.15258789062
1547890528507942396,-4.15258789062
1547890528509974768,-4.15258789062
1547890528513070460,-4.15258789062
1547890528516384759,-4.15258789062
1547890528518387173,-4.15258789062
1547890528521628776,-4.15258789062
1547890528524426397,-4.15258789062
1547890528526472766,-4.15258789062
1547890528529723934,-4.15258789062
1547890528532560816,-4.15258789062
1547890528534474475,-4.15258789062
1547890528536943055,-4.15258789062
1547890528541011823,-4.15258789062
1547890528542882453,-4.15258789062
1547890528544936678,-4.15258789062
1547890528549302457,-4.15258789062
1547890528551048370,-4.15258789062
1547890528553445774,-4.15258789062
1547890528557415311,-4.15258789062
1547890528559077362,-4.15258789062
1547890528561604161,-4.15258789062
1547890528565486607,-4.15258789062
1547890528567264057,-4.15258789062
1547890528569933693,-4.15258789062
1547890528573800641,-4.15258789062
1547890528575544086,-4.15258789062
1547890528577935140,-4.15258789062
1547890528581964516,-4.15258789062
1547890528583725294,-4.15258789062
1547890528586024956,-4.15258789062
1547890528590136016,-4.15258789062
1547890528592018617,-4.15258789062
1547890528594278252,-4.15258789062
1547890528598292086,-4.15258789062
1547890528600161161,-4.15258789062
1547890528602381926,-4.15258789062
1547890528606471925,-4.15258789062
1547890528608328988,-4.15258789062
1547890528610828934,-4.15258789062
1547890528614640244,-4.15258789062
1547890528616396009,-4.15258789062
1547890528618894910,-4.15258789062
1547890528622852941,-4.15258789062
1547890528624540540,-4.15258789062
1547890528627287583,-4.15258789062
1547890528631039099,-4.15258789062
1547890528632883777,-4.15258789062
1547890528635289258,-4.15258789062
1547890528639236765,-4.15258789062
1547890528641069510,-4.15258789062
1547890528643473499,-4.15258789062
1547890528647383987,-4.15258789062
1547890528649126897,-4.15258789062
1547890528651566584,-4.15258789062
1547890528655573938,-4.15258789062
1547890528657365810,-4.15258789062
1547890528660201544,-4.15258789062
1547890528663695237,-4.15258789062
1547890528665698438,-4.15258789062
1547890528668076623,-4.15258789062
1547890528671963454,-4.15258789062
1547890528673746773,-4.15258789062
1547890528676037414,-4.15258789062
1547890528680368439,-4.15258789062
1547890528682213100,-4.15258789062
1547890528684124541,-4.15258789062
1547890528688217877,-4.15258789062
1547890528690221781,-4.15258789062
1547890528692465293,-4.15258789062
1547890528696880008,-4.15258789062
1547890528698523901,-4.15258789062
1547890528700773965,-4.15258789062
1547890528704804289,-4.15258789062
1547890528706471291,-4.15258789062
1547890528708854172,-4.15258789062
1547890528712950143,-4.15258789062
1547890528715188155,-4.15258789062
1547890528716881668,-4.15258789062
1547890528721184685,-4.15258789062
1547890528722925567,-4.15258789062
1547890528725359597,-4.15258789062
1547890528729589540,-4.15258789062
1547890528731581437,-4.15258789062
1547890528733530691,-4.15258789062
1547890528737489458,-4.15258789062
